core_id,st,maxtime,mintime,n_gps_samples,gps_satellites_avg,lat_avg,lat_fixed,lon_avg,lon_fixed,dist_diff_meters
210025000747373334363431,2019-02-22 18:09:54+00,2019-08-26 15:06:20+00,2019-02-23 02:09:51+00,4364,4.99495875343721,5.54476727291475,5.5448015,-0.260995308890925,-0.2611181,14.0538048863556
200031000951343334363138,2018-06-13 07:31:20+00,2018-09-26 06:39:43+00,2018-07-04 12:11:40+00,23614,9.44062844075548,5.60774580384518,5.60775,-0.268130431566022,-0.2682562,13.8736852584924
480039000a51353431383437,2018-06-19 10:02:22+00,2019-08-29 11:51:18+00,2018-07-02 13:21:12+00,3142,4.84818586887333,5.62727366199872,5.627303,-0.253370596435392,-0.2532517,13.5014981700275
3e001e000d47373334363431,2019-04-24 17:56:58+00,2019-08-31 23:59:34+00,2019-04-24 17:57:24+00,50808,6.1131908360888,5.59032547146128,5.5904221,-0.279342664619738,-0.2794152,13.3208537143098
280048001251363038393739,2019-04-18 15:42:58+00,2019-08-26 18:26:50+00,2019-04-18 15:44:03+00,70554,6.63056665816254,5.62265434470055,5.6225541,-0.284128353346374,-0.2840658,13.0272032285912
2e0022000147373334363431,2019-02-25 19:53:50+00,2019-08-31 23:59:29+00,2019-02-25 19:54:14+00,163783,7.44619404944347,5.56392741122708,5.5640435,-0.258388101768789,-0.2584092,13.0084434994059
36005d000951343334363138,2018-06-18 09:50:18+00,2018-12-12 14:53:37+00,2018-07-02 12:31:13+00,790,6.14556962025316,5.64845405569621,5.64857,-0.299764367088608,-0.2997431,12.9961185971937
26001c000f47373334363431,2019-02-28 12:14:38+00,2019-08-20 03:34:21+00,2019-03-04 07:48:36+00,137,4.21897810218978,5.5703270729927,5.5702111,-0.226080934306569,-0.2261003,12.9630584373351
300039000c47373334363431,2019-03-04 19:22:22+00,2019-08-17 05:48:12+00,2019-03-04 19:23:39+00,109129,8.6033410001008,5.59180957361474,5.5917623,-0.240313042738418,-0.2402054,12.9616465431906
3f0022000247373334363431,2019-02-28 17:57:57+00,2019-08-31 17:18:48+00,2019-03-03 14:24:41+00,13575,4.85458563535912,5.59720610784532,5.59709,-0.252699213848987,-0.2526944,12.8118872303082
450053000a51353431383437,2018-06-20 14:51:27+00,2019-03-24 00:06:21+00,2018-07-19 08:58:16+00,8438,6.05510784546101,5.66212361708938,5.662227,-0.271993536146007,-0.2720457,12.7666900200294
4f004a001951353339373130,2018-06-14 11:31:11+00,2018-11-15 16:20:17+00,2018-08-01 03:25:31+00,4148,4.88645130183221,5.63576584040503,5.635653,-0.242981236740598,-0.2429625,12.610991662436
34005b000a51353431383437,2019-04-17 10:34:31+00,2019-08-31 23:59:10+00,2019-04-17 13:02:40+00,118064,7.17105976419569,5.64144439408274,5.6415527,-0.245292931986053,-0.2452949,11.9426985156408
450019000951343334363138,2019-04-17 22:37:33+00,2019-08-31 23:59:50+00,2019-04-17 22:37:38+00,96103,6.6164115584321,5.63114177391976,5.6310612,-0.300195518069144,-0.3002666,11.8460007780109
42002f000d47373334363431,2019-02-28 20:21:23+00,2019-08-27 07:41:58+00,2019-02-28 20:25:25+00,78614,7.57162846312362,5.57267322585032,5.5725708,-0.235013078980844,-0.2350451,11.8314228905812
3d005f001050483553343720,2019-02-25 14:33:25+00,2019-08-31 23:58:46+00,2019-02-25 14:33:41+00,167358,10.6022538510259,5.52317160312576,5.5232142,-0.257452695969133,-0.257355,11.7502896683824
