core_id,st,maxtime,mintime,n_gps_samples,gps_satellites_avg,lat_avg,lat_fixed,lon_avg,lon_fixed,dist_diff_meters
170045000951343334363138,2018-06-13 09:59:57+00,2019-08-31 23:59:42+00,2018-07-01 00:00:48+00,279774,0.0161594715734843,5.5921034590164,5.637813,-0.28865862584378,-0.2997196,5184.92432882681
240055000151353432393339,2018-06-19 17:25:43+00,2019-08-31 23:59:33+00,2018-07-01 00:01:02+00,234470,3.10731863351388,5.68473286081514,5.643223,-0.266534153428172,-0.2485588,4987.13029569417
4a0052001151363038393739,2018-06-20 09:46:27+00,2019-05-04 12:39:05+00,2018-07-01 00:00:08+00,221642,1.35737360247606,5.63381426373646,5.634203,-0.237335277136519,-0.2820095,4925.51953405093
26001c000f47373334363431,2019-02-28 12:14:38+00,2019-08-31 23:58:35+00,2019-02-28 12:14:45+00,160647,0.00869608520545046,5.52908096282528,5.5702111,-0.224355687732342,-0.2261003,4538.67509633876
550036001351363038393739,2018-06-13 10:14:48+00,2019-08-31 23:58:34.94+00,2019-05-10 15:01:01.798+00,28583,4.87559038589371,5.61077658716503,5.638891,-0.329957803915752,-0.3000673,4524.09693964358
34002b001251363038393739,2018-06-14 09:22:48+00,2018-12-12 21:41:55+00,2018-07-01 00:00:23+00,60126,0.0423277783321691,5.60348311111111,5.629669,-0.218038310185185,-0.2474592,4342.35204079424
480039001151363038393739,2018-06-21 12:14:27+00,2018-12-20 07:07:43+00,2018-07-01 00:00:55+00,26467,0.0408055314164809,5.62219178698225,5.621107,-0.245310763313609,-0.2830074,4157.77465652186
2f0025001451343334363036,2018-06-14 14:27:43+00,2018-12-20 11:59:18+00,2018-10-10 10:51:45+00,56885,0.285242155225455,5.66241083466995,5.645014,-0.204729330660086,-0.2371164,4053.20164252063
560044000151353432393339,2018-06-13 15:16:46+00,2019-08-31 23:58:26+00,2018-07-01 00:00:23+00,101827,0.038113663370226,5.61805814351146,5.647583,-0.286920044274809,-0.308451,4028.7275031086
520027000351353337353037,2018-06-21 20:31:32+00,2018-12-14 07:38:43+00,2018-07-01 00:00:22+00,34290,8.84167395742199,5.60898532750608,5.608996,-0.219308307860972,-0.2552361,3961.03925809105
43003a000951343334363138,2018-06-13 14:50:23+00,2019-08-31 23:59:34+00,2018-07-01 00:39:31+00,360272,0.663767930896656,5.61987982614001,5.621056,-0.203599950427815,-0.2377012,3761.89835582382
280030001251363038393739,2018-06-19 13:50:55+00,2019-08-31 23:58:17+00,2018-07-01 00:00:06+00,239939,0.0625992439745102,5.68089619566544,5.663692,-0.266633953907204,-0.2386933,3617.58540444403
380054000d50483553343720,2019-03-04 19:00:39+00,2019-08-31 23:59:40+00,2019-03-04 19:01:41+00,122209,0.0151870975132764,5.55298522159091,5.5843172,-0.249658329545454,-0.2516703,3461.46532574854
470019000951343334363138,2019-04-15 17:02:14+00,2019-08-30 06:45:19+00,2019-04-15 17:15:00+00,68157,0.271886966855936,5.66309355,5.643435,-0.288107442500001,-0.3092749,3184.90829928974
26002c001951343334363036,2018-06-18 14:26:26+00,2018-12-20 11:59:36+00,2018-07-01 00:01:04+00,61648,1.21987736828445,5.66240066104519,5.643435,-0.287656877923519,-0.3092749,3170.59367796566
3b0041000951353431383437,2018-06-18 08:52:27+00,2019-08-31 23:59:23+00,2018-07-01 00:00:51+00,269405,0.0418848944897088,5.56692811548332,5.594841,-0.284519285714285,-0.2857491,3080.38098541945
2f0028001251363038393739,2018-06-20 12:55:53+00,2018-12-20 11:59:15+00,2018-07-01 00:00:32+00,155279,0.000656882128298096,5.610303,5.619511,-0.276443875,-0.2535973,2715.71790050008
4a003d001151363038393739,2019-04-23 15:04:13+00,2019-08-31 23:58:49+00,2019-04-23 15:05:31+00,103837,0.0170266860560301,5.58723955230125,5.6089018,-0.274622255230126,-0.2820202,2523.6958596881
490034000951343334363138,2018-06-20 15:52:37+00,2019-08-31 23:59:15+00,2018-07-01 00:00:38+00,303019,1.22120395090737,5.66271195792976,5.66362,-0.251286730747719,-0.272816,2375.71220610814
59003d000951343334363138,2018-06-14 09:04:50+00,2018-12-20 04:50:27+00,2018-07-01 00:01:21+00,115182,5.37513674011564,5.63267818496069,5.632951,-0.249906063188173,-0.2703359,2252.59032572842
3c0025001451343334363036,2018-06-19 09:43:45+00,2018-11-03 05:30:40+00,2018-07-01 00:00:01+00,49222,8.9200357563691,5.62897799183048,5.629128,-0.211981003422631,-0.2321295,2221.43331207058
26004e000951343334363138,2018-06-18 16:20:04+00,2018-12-15 23:45:18+00,2018-08-02 07:03:16.541+00,3645,0.893827160493827,5.68261530238095,5.669168,-0.273460373809524,-0.2882211,2201.43874750025
1e0034000747373334363431,2019-02-22 19:21:45+00,2019-07-11 11:07:36+00,2019-02-22 19:22:19+00,89187,0.075795799836299,5.5297117931338,5.5485713,-0.269328271126761,-0.270462,2083.01420491717
500030001951353339373130,2018-06-13 14:44:39+00,2018-12-14 22:22:46+00,2018-07-01 00:00:04+00,148103,6.92963005475919,5.63463916706189,5.634741,-0.28924005030773,-0.3080787,2076.99147252934
470055001151363038393739,2019-04-16 18:55:45+00,2019-08-31 23:59:15+00,2019-05-13 15:20:10+00,25147,1.77305443989343,5.630133367771,5.6285691,-0.302569586748039,-0.2847765,1969.2541001726
2a0035000147373334363431,2019-02-22 18:24:23+00,2019-08-15 04:00:48+00,2019-02-22 18:24:45+00,158854,0.86913140367885,5.55843737569685,5.5445963,-0.262299104201604,-0.2590146,1568.35553929297
4d004b000a51353431383437,2019-04-18 11:34:47+00,2019-08-31 23:58:39+00,2019-04-18 11:35:45+00,104296,0.0243537623686431,5.59057904010025,5.6046822,-0.257010035087719,-0.2580769,1559.31591593972
3e0025000247373334363431,2019-04-24 15:49:13+00,2019-05-11 03:38:38+00,2019-04-24 16:06:46+00,3273,0.0192483959670028,5.68102691666667,5.669168,-0.281424833333333,-0.2882211,1506.93297968942
2b0017000147373334363431,2019-05-09 12:58:26+00,2019-07-30 03:10:26+00,2019-05-09 12:59:59+00,43800,5.97146118721461,5.61347354894768,5.621107,-0.271963623340529,-0.2830074,1480.12248097948
310024001351363038393739,2018-06-21 13:14:15+00,2019-08-31 23:59:23+00,2018-07-01 00:01:00+00,328135,6.07974156978073,5.67135596369577,5.659904,-0.2866013952529,-0.2933875,1467.60388164542
260045000f47373334363431,2019-04-17 20:50:24+00,2019-08-31 23:59:01+00,2019-04-17 20:50:28+00,76175,0.0463144076140466,5.61782674031891,5.6305943,-0.247311230068337,-0.2478982,1409.11022254536
2e0041000e47373334363431,2019-02-26 19:40:51+00,2019-08-30 23:17:46+00,2019-02-26 19:41:00+00,54402,0.561266129921694,5.53671305402735,5.5365133,-0.250427852413112,-0.2621112,1288.27732391381
400021000347373334363431,2019-04-16 09:13:17+00,2019-08-31 23:58:54+00,2019-04-16 09:13:35+00,120567,0.0106911509782942,5.66716728358209,5.660941,-0.277933019900498,-0.2681037,1282.80097288006
