Pair_ID,Origin_ID,Destination_ID,Dist_along_grid_meters,Destination_Rank
2b004b001251363038393739 6/13/18 7:56 - 40001f000347373334363431 4/23/19 11:55,2b004b001251363038393739 6/13/18 7:56 ,40001f000347373334363431 4/23/19 11:55,2943.362122,23
2b004b001251363038393739 6/13/18 7:56 - 2f0028001251363038393739 6/20/18 12:55,2b004b001251363038393739 6/13/18 7:56 ,2f0028001251363038393739 6/20/18 12:55,3498.166334,24
2b004b001251363038393739 6/13/18 7:56 - 2b0034000147373334363431 4/15/19 21:45,2b004b001251363038393739 6/13/18 7:56 ,2b0034000147373334363431 4/15/19 21:45,3505.664728,25
2b004b001251363038393739 6/13/18 7:56 - 2e003b001251363038393739 6/20/18 14:06,2b004b001251363038393739 6/13/18 7:56 ,2e003b001251363038393739 6/20/18 14:06,3548.649068,26
2b004b001251363038393739 6/13/18 7:56 - 34002d000d50483553343720 4/19/19 16:33,2b004b001251363038393739 6/13/18 7:56 ,34002d000d50483553343720 4/19/19 16:33,3553.91566,27
2b004b001251363038393739 6/13/18 7:56 - 3.50018E+23 4/23/19 19:44,2b004b001251363038393739 6/13/18 7:56 ,3.50018E+23 4/23/19 19:44,4041.277423,28
2b004b001251363038393739 6/13/18 7:56 - 3b0028000151353432393339 6/19/18 12:56,2b004b001251363038393739 6/13/18 7:56 ,3b0028000151353432393339 6/19/18 12:56,4091.130688,29
2b004b001251363038393739 6/13/18 7:56 - 5.00038E+23 6/19/18 12:22,2b004b001251363038393739 6/13/18 7:56 ,5.00038E+23 6/19/18 12:22,4117.826108,30
2b004b001251363038393739 6/13/18 7:56 - 480039000a51353431383437 6/19/18 10:02,2b004b001251363038393739 6/13/18 7:56 ,480039000a51353431383437 6/19/18 10:02,5176.853417,31
2b004b001251363038393739 6/13/18 7:56 - 380023000a47373334363431 4/23/19 14:37,2b004b001251363038393739 6/13/18 7:56 ,380023000a47373334363431 4/23/19 14:37,5221.097922,32
2b004b001251363038393739 6/13/18 7:56 - 43003a000951343334363138 6/13/18 14:50,2b004b001251363038393739 6/13/18 7:56 ,43003a000951343334363138 6/13/18 14:50,6047.972529,33
2b004b001251363038393739 6/13/18 7:56 - 4.20025E+23 6/13/18 15:30,2b004b001251363038393739 6/13/18 7:56 ,4.20025E+23 6/13/18 15:30,6104.251913,34
2b004b001251363038393739 6/13/18 7:56 - 3f0049000551353431383736 4/17/19 10:50,2b004b001251363038393739 6/13/18 7:56 ,3f0049000551353431383736 4/17/19 10:50,6473.043528,35
2b004b001251363038393739 6/13/18 7:56 - 2.90048E+23 6/19/18 14:55,2b004b001251363038393739 6/13/18 7:56 ,2.90048E+23 6/19/18 14:55,6492.717018,36
2b004b001251363038393739 6/13/18 7:56 - 4a003d001151363038393739 6/19/18 15:06,2b004b001251363038393739 6/13/18 7:56 ,4a003d001151363038393739 6/19/18 15:06,6532.3488,37
2b004b001251363038393739 6/13/18 7:56 - 36002b000247373334363431 4/17/19 9:26,2b004b001251363038393739 6/13/18 7:56 ,36002b000247373334363431 4/17/19 9:26,6532.3488,38
2b004b001251363038393739 6/13/18 7:56 - 26002b000f47373334363431 6/11/19 19:10,2b004b001251363038393739 6/13/18 7:56 ,26002b000f47373334363431 6/11/19 19:10,7058.986547,39
2b004b001251363038393739 6/13/18 7:56 - 2b002c001251363038393739 6/20/18 16:13,2b004b001251363038393739 6/13/18 7:56 ,2b002c001251363038393739 6/20/18 16:13,7067.147744,40
2b004b001251363038393739 6/13/18 7:56 - 420036000d47373334363431 4/15/19 18:30,2b004b001251363038393739 6/13/18 7:56 ,420036000d47373334363431 4/15/19 18:30,7067.147744,41
2b004b001251363038393739 6/13/18 7:56 - 2.00031E+23 4/15/19 19:18,2b004b001251363038393739 6/13/18 7:56 ,2.00031E+23 4/15/19 19:18,7077.711047,42
2b004b001251363038393739 6/13/18 7:56 - 3f0060001151363038393739 6/19/18 13:27,2b004b001251363038393739 6/13/18 7:56 ,3f0060001151363038393739 6/19/18 13:27,7239.927576,43
2b004b001251363038393739 6/13/18 7:56 - 290029000f47373334363431 4/23/19 19:43,2b004b001251363038393739 6/13/18 7:56 ,290029000f47373334363431 4/23/19 19:43,7272.374741,44
2b004b001251363038393739 6/13/18 7:56 - 3b0017000951343334363138 6/20/18 17:13,2b004b001251363038393739 6/13/18 7:56 ,3b0017000951343334363138 6/20/18 17:13,7372.245462,45
2b004b001251363038393739 6/13/18 7:56 - 4b0041001951353339373130 6/19/18 16:12,2b004b001251363038393739 6/13/18 7:56 ,4b0041001951353339373130 6/19/18 16:12,7386.409263,46
2b004b001251363038393739 6/13/18 7:56 - 3.4005E+23 6/14/18 17:07,2b004b001251363038393739 6/13/18 7:56 ,3.4005E+23 6/14/18 17:07,7856.400964,47
2b004b001251363038393739 6/13/18 7:56 - 3.5002E+23 5/9/19 15:44,2b004b001251363038393739 6/13/18 7:56 ,3.5002E+23 5/9/19 15:44,7856.400964,48
2b004b001251363038393739 6/13/18 7:56 - 54003b000e51353433323633 4/19/19 16:27,2b004b001251363038393739 6/13/18 7:56 ,54003b000e51353433323633 4/19/19 16:27,7939.705895,49
2b004b001251363038393739 6/13/18 7:56 - 4a004d001951353339373130 6/14/18 17:00,2b004b001251363038393739 6/13/18 7:56 ,4a004d001951353339373130 6/14/18 17:00,7948.100075,50
2b004b001251363038393739 6/13/18 7:56 - 4.10048E+23 6/14/18 9:30,2b004b001251363038393739 6/13/18 7:56 ,4.10048E+23 6/14/18 9:30,8554.584251,51
