core_1,core_2,logical_grid_distance
200031000951343334363138,200031000951343334363138,1
200031000951343334363138,530039001351363038393739,4
200031000951343334363138,380025001451343334363036,4
200031000951343334363138,1a0041001151363038393739,4
200031000951343334363138,2b004b001251363038393739,4
200031000951343334363138,230045000f47373334363431,4
200031000951343334363138,45005e000951343334363138,3
200031000951343334363138,220025000551353431383736,3
200031000951343334363138,190029000147373334363431,3
200031000951343334363138,1e0036000951343334363138,4
200031000951343334363138,2e001f001251363038393739,4
200031000951343334363138,3c0031000d47373334363431,4
200031000951343334363138,47005a001151363038393739,4
200031000951343334363138,4c0048000551353431383736,4
200031000951343334363138,27003c000951343334363138,4
200031000951343334363138,560044000151353432393339,4
200031000951343334363138,3f004a000c51343334363138,4
200031000951343334363138,3b0045000151353432393339,4
200031000951343334363138,50003b001950483553353620,4
200031000951343334363138,500030001951353339373130,4
200031000951343334363138,5d0040000d50483553343720,4
200031000951343334363138,43003a000951343334363138,4
200031000951343334363138,420025001451343334363036,4
200031000951343334363138,290029000f47373334363431,4
200031000951343334363138,220048001451343334363036,4
200031000951343334363138,43005d000951343334363138,4
200031000951343334363138,4a003d001151363038393739,4
200031000951343334363138,48003c001151363038393739,4
200031000951343334363138,36005d000951343334363138,4
200031000951343334363138,38003d001050483553343720,4
200031000951343334363138,48001a000951343334363138,4
200031000951343334363138,2e0048000951343334363138,4
200031000951343334363138,40001f000347373334363431,4
200031000951343334363138,42002b000951353431383437,4
200031000951343334363138,2e0042000147373334363431,4
200031000951343334363138,51003d000951343334363138,4
200031000951343334363138,59003d000951343334363138,4
200031000951343334363138,3a0026000e47373432363837,4
200031000951343334363138,34002b001251363038393739,3
200031000951343334363138,410048001451343334363036,3
200031000951343334363138,260045000f47373334363431,3
200031000951343334363138,4c0045000451353431383736,4
200031000951343334363138,280036001951353339373130,4
200031000951343334363138,2f0046000c47373334363431,4
200031000951343334363138,33002b001151363038393739,4
200031000951343334363138,3e002e001451343334363036,4
200031000951343334363138,510031001351363038393739,4
200031000951343334363138,280021001251363038393739,4
200031000951343334363138,35002f001951353339373130,4
200031000951343334363138,35003e001951353339373130,4
200031000951343334363138,48003d001151363038393739,4
200031000951343334363138,2a0026000f47373334363431,4
200031000951343334363138,1f0033000b47373334363431,4
200031000951343334363138,4f004a001951353339373130,4
200031000951343334363138,3d0055001951353339373130,2
200031000951343334363138,270042000f47373334363431,2
200031000951343334363138,220037000247373334363431,2
200031000951343334363138,1a003d000951343334363138,4
200031000951343334363138,30001a001451343334363036,4
200031000951343334363138,200020000747373334363431,4
200031000951343334363138,51004d000a51353431383437,4
200031000951343334363138,440059000951343334363138,4
200031000951343334363138,310024000e47373334363431,4
200031000951343334363138,400045000251353337353037,4
200031000951343334363138,270025001451343334363036,4
200031000951343334363138,330024001050483553343720,4
200031000951343334363138,2f002c001251363038393739,4
200031000951343334363138,240057001151363038393739,4
200031000951343334363138,530033001351363038393739,4
200031000951343334363138,210037000e47373334363431,4
200031000951343334363138,31001e001351363038393739,4
200031000951343334363138,500036001351363038393739,4
200031000951343334363138,380029000d50483553343720,4
200031000951343334363138,4b0041001951353339373130,4
200031000951343334363138,340056001251363038393739,4
200031000951343334363138,49001a000951343334363138,4
200031000951343334363138,260041000f47373432363837,4
200031000951343334363138,450019000951343334363138,4
200031000951343334363138,310035001351363038393739,4
200031000951343334363138,4a004d001951353339373130,3
200031000951343334363138,340050001251363038393739,3
200031000951343334363138,350020000247373334363431,3
200031000951343334363138,54003b000e51353433323633,4
200031000951343334363138,1d003f000951343334363138,4
200031000951343334363138,190039000147373334363431,4
200031000951343334363138,2c003d000147373334363431,4
200031000951343334363138,340029001251363038393739,4
200031000951343334363138,480039001151363038393739,4
200031000951343334363138,280048001251363038393739,4
200031000951343334363138,2b0017000147373334363431,4
200031000951343334363138,3b0041000951353431383437,4
200031000951343334363138,39004f000951343334363138,4
200031000951343334363138,38003e000a47373334363431,4
200031000951343334363138,35002d001951353339373130,4
200031000951343334363138,33005b001251363038393739,4
200031000951343334363138,500057000d50483553343720,4
200031000951343334363138,34005b000a51353431383437,2
200031000951343334363138,350037001951353339373130,4
200031000951343334363138,2e001f000147373334363431,4
200031000951343334363138,30002c001351363038393739,4
200031000951343334363138,33003a000951343334363138,4
200031000951343334363138,510042001951353339373130,4
200031000951343334363138,3e001e000d47373334363431,4
200031000951343334363138,2b002b000147373334363431,4
200031000951343334363138,3d0060000951343334363138,4
200031000951343334363138,540057000d50483553343720,4
200031000951343334363138,2b0051000d50483553343720,4
200031000951343334363138,470055001151363038393739,4
200031000951343334363138,250058000151353432393339,4
200031000951343334363138,340023000247373334363431,4
200031000951343334363138,2f0039000551353431383736,4
200031000951343334363138,230048001151363038393739,4
200031000951343334363138,2a0037000147373334363431,4
200031000951343334363138,1e003d000951343334363138,4
200031000951343334363138,2b0049001251363038393739,4
200031000951343334363138,3e003d001050483553343720,4
200031000951343334363138,26002c001951343334363036,4
200031000951343334363138,340064000951343334363138,4
200031000951343334363138,470019000951343334363138,4
200031000951343334363138,320062000951343334363138,3
200031000951343334363138,24004f000151353432393339,4
200031000951343334363138,3b001c000a47373334363431,4
200031000951343334363138,3b0046000151353432393339,4
200031000951343334363138,400063000951343334363138,4
200031000951343334363138,200049000d50483553343720,4
200031000951343334363138,1d0036000951343334363138,4
200031000951343334363138,26004e000951343334363138,4
200031000951343334363138,2e0020001251363038393739,4
200031000951343334363138,26002b000d50483553343720,4
200031000951343334363138,3e0025000247373334363431,4
200031000951343334363138,4d004b000a51353431383437,4
200031000951343334363138,47001e000951353431383437,4
200031000951343334363138,2a002e000147373334363431,4
200031000951343334363138,2c001b001451343334363036,4
200031000951343334363138,57002c000151353432393339,2
200031000951343334363138,22002a000951343334363138,4
200031000951343334363138,43002c000951343334363138,4
200031000951343334363138,47002d000a51353431383437,3
200031000951343334363138,3c0025001451343334363036,3
200031000951343334363138,35003d001951353339373130,3
200031000951343334363138,21001e000247373334363431,3
200031000951343334363138,2f001d000247373334363431,3
200031000951343334363138,1b004e000951343334363138,3
200031000951343334363138,300036000c47373334363431,3
200031000951343334363138,240042001151363038393739,3
200031000951343334363138,480039000a51353431383437,3
200031000951343334363138,380023000a47373334363431,3
200031000951343334363138,49003f000951353431383437,4
200031000951343334363138,37004e000551353431383736,4
200031000951343334363138,430034000347373334363431,4
200031000951343334363138,57003c000151353432393339,4
200031000951343334363138,33005b000e51353433323633,4
200031000951343334363138,2c002a000d47373334363431,4
200031000951343334363138,500038001951353339373130,3
200031000951343334363138,3b0028000151353432393339,3
200031000951343334363138,350018000247373334363431,3
200031000951343334363138,2b0059001251363038393739,3
200031000951343334363138,330053001251363038393739,3
200031000951343334363138,3c0025000e47373432363837,3
200031000951343334363138,3f0060001151363038393739,4
200031000951343334363138,41004f000951343334363138,4
200031000951343334363138,34001b001951353339373130,4
200031000951343334363138,280030001251363038393739,4
200031000951343334363138,2d0031000147373334363431,4
200031000951343334363138,290048001951353339373130,4
200031000951343334363138,36002b000247373334363431,4
200031000951343334363138,3f0049000551353431383736,4
200031000951343334363138,450048001451343334363036,4
200031000951343334363138,33005c000a51353431383437,4
